Amount,CBK,hour,day_of_week,card_txn_count
95.2,1,15,5,15
207.0,0,21,2,1
78.4,0,8,1,1
172.5,0,17,3,1
161.0,0,11,0,1
69.0,0,15,5,1
89.6,0,13,1,2
156.8,0,11,0,1
176.0,0,11,3,2
49.5,0,20,3,1
44.0,0,12,4,1
100.0,0,21,0,1
70.0,0,21,0,1
69.0,0,13,4,1
190.4,0,17,0,2
77.0,0,0,2,1
112.0,0,9,0,1
55.0,0,16,1,1
110.0,0,2,5,1
44.8,0,19,0,1
228.0,0,17,4,1
330.0,0,19,2,1
62.1,0,13,3,1
78.4,0,10,2,1
154.0,0,0,1,2
63.25,0,8,2,1
88.0,0,20,2,1
34.5,0,18,4,1
132.0,0,22,4,1
55.0,0,9,5,2
88.0,0,8,3,1
60.0,0,1,3,1
240.0,0,11,3,1
154.0,0,21,0,1
168.0,0,11,1,1
46.0,0,16,4,1
46.0,0,18,2,1
27.0,0,14,3,1
62.1,0,9,4,1
66.0,0,11,4,1
16.5,0,16,2,2
20.0,0,16,1,1
95.2,1,15,5,15
49.5,0,21,2,1
156.8,0,20,2,1
143.0,0,19,0,2
62.1,0,11,2,1
154.0,0,15,4,1
95.2,0,16,5,1
66.0,0,15,1,2
92.0,0,14,4,1
168.0,0,16,5,3
30.45,0,10,2,1
143.0,0,18,0,1
132.0,0,21,4,1
132.0,0,23,4,1
153.0,0,2,3,2
10.0,0,22,0,1
88.0,0,12,4,1
33.0,0,19,4,1
33.0,0,12,5,1
34.5,0,22,2,1
67.5,0,19,0,1
154.0,0,9,4,1
69.0,0,18,4,1
176.0,0,18,3,1
224.0,0,11,6,1
341.0,0,8,1,1
143.0,0,0,1,2
264.0,0,18,4,2
109.61,0,19,3,1
154.0,0,18,3,1
99.0,0,14,4,1
138.0,0,15,4,1
10.0,0,10,5,1
201.6,0,17,4,1
126.5,0,9,4,1
297.0,0,3,5,1
192.0,0,11,1,1
308.0,0,18,4,1
78.4,0,14,0,1
78.4,0,21,0,1
23.0,0,15,5,1
69.0,0,21,3,2
153.0,1,6,2,10
40.0,0,22,1,1
220.0,0,16,2,1
104.5,0,21,2,1
154.0,0,13,4,2
10.0,0,22,4,1
78.4,0,9,2,1
36.66,1,11,4,4
55.0,0,2,1,1
15.0,0,12,5,1
92.0,0,14,4,1
154.0,0,11,3,2
78.4,0,19,2,1
46.0,0,12,1,2
31.59,0,22,6,2
105.0,0,12,6,1
380.8,0,16,0,1
34.5,0,22,4,1
304.75,0,21,1,1
176.0,0,21,5,2
78.15,0,10,1,1
143.0,0,0,2,1
88.0,0,0,4,1
33.0,0,20,5,1
23.0,0,18,6,1
49.43,0,20,2,1
92.0,0,11,1,1
201.25,0,21,0,1
99.0,0,10,2,1
33.0,0,22,2,2
46.69,0,11,1,1
99.0,0,21,2,2
34.5,0,15,0,1
20.0,0,13,2,1
88.0,0,23,2,1
156.8,0,22,2,1
180.0,0,20,0,1
89.6,0,23,3,2
50.75,0,16,5,2
1460.0,0,20,0,1
134.4,0,21,5,2
89.6,0,10,2,1
143.0,0,18,4,2
168.0,0,23,5,1
55.0,0,19,4,1
154.0,0,10,1,1
308.0,0,13,1,1
89.6,0,19,3,2
209.0,0,11,2,1
69.0,0,0,4,1
154.0,0,18,3,1
92.0,0,15,4,1
88.0,0,13,3,1
40.0,0,17,3,1
23.0,0,22,4,1
24.0,0,12,0,1
69.0,0,16,4,1
40.0,0,20,5,2
67.2,0,17,0,1
280.0,0,14,6,2
172.75,0,10,3,2
33.0,0,12,5,1
154.0,0,20,2,1
132.0,0,9,3,1
46.0,0,8,3,1
143.0,0,21,0,2
134.4,0,18,1,1
23.0,0,23,5,1
134.4,0,9,6,1
78.4,0,11,0,2
92.0,0,22,2,1
143.0,0,21,0,1
10.0,0,17,4,1
66.0,0,20,2,1
154.0,0,9,3,2
92.0,0,0,3,1
78.4,0,11,3,1
190.4,1,17,3,2
99.0,0,21,2,2
10.0,0,11,1,1
33.0,0,16,4,1
26.5,0,17,0,1
46.0,0,17,4,1
336.0,0,19,2,2
154.0,0,18,4,2
89.6,0,10,3,1
336.0,0,12,4,1
308.0,0,21,4,1
273.0,0,22,5,2
77.0,0,17,4,1
180.0,0,13,5,6
44.47,0,18,4,1
10.0,0,14,0,1
70.0,0,10,5,1
134.4,0,12,0,1
112.0,0,15,2,1
67.2,0,22,0,2
55.0,0,20,1,1
336.0,0,10,4,2
44.0,0,10,5,1
121.0,0,14,4,1
275.0,0,20,3,1
190.4,0,22,6,1
44.0,0,12,2,1
62.1,0,23,2,2
154.0,0,0,3,3
69.0,0,20,6,1
95.2,0,19,4,1
88.0,0,13,5,1
176.0,0,14,4,1
92.0,0,13,5,1
78.4,0,10,0,1
16.5,0,23,2,3
121.0,0,10,1,2
34.5,0,12,4,1
352.0,0,10,3,1
138.0,0,13,2,1
154.0,0,23,0,1
70.0,0,17,4,1
20.0,0,22,5,2
224.0,0,20,0,1
154.0,0,13,3,1
156.8,0,14,0,3
78.4,0,21,0,2
414.0,1,21,2,2
29.5,0,11,2,1
99.0,0,16,4,1
132.0,1,13,4,6
23.34,0,21,2,1
143.0,0,19,5,1
34.5,0,20,4,2
23.0,0,21,3,1
253.0,0,11,2,1
72.8,0,22,1,1
20.0,0,11,0,1
